time,oceans,climate,toxics,justice and democracy,drilling,transportation,energy,public lands,lands,appropriations,other,forests,wildlife,environmental justice,judiciary,air,public right to know,water
1992,0.0,0.06250900187238946,0.25003600748955784,0.0,0.0,0.0,0.37505401123433674,0.0,0.3125450093619473,0.0,0.1248739737865476,0.3125450093619473,0.3125450093619473,0.0,0.0,0.0,0.25003600748955784,0.12501800374477892
1993,0.0,0.0,0.10012703545444046,0.0,0.0,0.0,0.1500173230165146,0.0,0.5500635177272203,0.0,0.2000230973553528,0.5500635177272203,0.4000461947107056,0.0,0.0,0.0500057743388382,0.10012703545444046,0.1497863494629865
1994,0.0,0.0,0.19237588652482268,0.0,0.0,0.0,0.15390070921985816,0.0,0.5,0.0,0.23067375886524824,0.5,0.3076241134751773,0.0,0.0,0.0,0.19237588652482268,0.03847517730496454
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.07695035460992908,0.0,0.3076241134751773,0.0,0.4615248226950355,0.3076241134751773,0.07695035460992908,0.0,0.0,0.15354609929078014,0.0,0.3074468085106383
1996,0.0,0.07708703374777975,0.07690941385435168,0.0,0.0,0.0,0.30728241563055064,0.0,0.5387211367673179,0.0,0.3069271758436945,0.5387211367673179,0.46145648312611015,0.0,0.0,0.0,0.07690941385435168,0.07690941385435168
1997,0.0,0.0,0.1242467718794835,0.0,0.0,0.0,0.19182209469153516,0.0,0.43500717360114777,0.0,0.43529411764705883,0.43500717360114777,0.372883787661406,0.0,0.0,0.12984218077474893,0.1242467718794835,0.18637015781922525
1998,0.07725169099323603,0.1546813812744749,0.23086507653969385,0.0,0.0,0.0,0.07725169099323603,0.0,0.46048415806336773,0.0,0.38412246351014595,0.46048415806336773,0.38412246351014595,0.0,0.0,0.07742969028123887,0.23086507653969385,0.1539693841224635
1999,0.0,0.0,0.43757208765859285,0.0,0.06242791234140715,0.0,0.18742791234140715,0.0,0.3748558246828143,0.0,0.6247116493656286,0.3748558246828143,0.1251441753171857,0.0,0.0,0.0,0.43757208765859285,0.18742791234140715
2000,0.0,0.07140506745640013,0.2856202698256005,0.0,0.0,0.0,0.07156959526159921,0.0,0.42859493254359987,0.0,0.21437973017439949,0.42859493254359987,0.2856202698256005,0.0,0.0,0.07140506745640013,0.2856202698256005,0.21421520236920039
2001,0.0,0.0,0.14278639815120503,0.0,0.42901947837570154,0.07147573456586333,0.5718058765269066,0.0,0.3573786728293166,0.0,0.21426213271706834,0.3573786728293166,0.21492241663915485,0.0,0.0,0.07147573456586333,0.14278639815120503,0.2145922746781116
2002,0.0,0.0,0.375,0.0,0.125,0.0,0.2502880184331797,0.0,0.5,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.375,0.25
2003,0.0,0.0,0.049976969138645785,0.0,0.3002072777521879,0.09995393827729157,0.3501842468908337,0.0,0.6000690925840626,0.0,0.2001381851681253,0.6000690925840626,0.5500921234454169,0.0,0.0,0.09995393827729157,0.049976969138645785,0.30009212344541686
2004,0.0,0.0,0.0,0.0,0.09089000839630562,0.0,0.3635600335852225,0.0,0.3635600335852225,0.0,0.45465994962216627,0.3635600335852225,0.3635600335852225,0.0,0.0,0.18178001679261124,0.0,0.0
2005,0.0,0.0,0.11123911930363543,0.0,0.33346134152585766,0.05555555555555555,0.666794674859191,0.0,0.44457245263696876,0.0,0.11123911930363543,0.44457245263696876,0.3333333333333333,0.0,0.0,0.1111111111111111,0.11123911930363543,0.1111111111111111
2006,0.0,0.0,0.16663452266152362,0.0,0.3334619093539055,0.0,0.5000964320154291,0.0,0.3334619093539055,0.0,0.08331726133076181,0.3334619093539055,0.3334619093539055,0.0,0.0,0.08331726133076181,0.16663452266152362,0.08331726133076181
